time, id, type
1104485658,6cad15226bf1c195,unplugged
1104487024,289329338e165377,unplugged
1104496115,990e34761ce7226f,unplugged
1104496230,990e34761ce7226f,unplugged
1104496389,6cad15226bf1c195,unplugged
1104499035,990e34761ce7226f,unplugged
1104499424,990e34761ce7226f,unplugged
1104560727,990e34761ce7226f,unplugged
1104562379,990e34761ce7226f,plugged
1104562386,990e34761ce7226f,unplugged
1104562418,990e34761ce7226f,plugged
1104564229,990e34761ce7226f,unplugged
1104564244,990e34761ce7226f,plugged
1104596294,990e34761ce7226f,unplugged
1104596339,990e34761ce7226f,unplugged
1104596359,990e34761ce7226f,plugged
1104596361,990e34761ce7226f,unplugged
1104597687,990e34761ce7226f,plugged
1104597689,990e34761ce7226f,unplugged
1104597763,990e34761ce7226f,plugged
1104597765,990e34761ce7226f,unplugged
1104597859,990e34761ce7226f,plugged
1104598272,990e34761ce7226f,unplugged
1104598351,990e34761ce7226f,plugged
1104601500,990e34761ce7226f,unplugged
1104601533,990e34761ce7226f,plugged
1104686659,990e34761ce7226f,unplugged
1104686689,990e34761ce7226f,unplugged
1104926555,6cad15226bf1c195,unplugged
1105251727,289329338e165377,unplugged
1105518827,6cad15226bf1c195,unplugged
1105607228,6cad15226bf1c195,plugged
1105607682,6cad15226bf1c195,unplugged
1105639196,6cad15226bf1c195,unplugged
1106732352,6cad15226bf1c195,unplugged
1392965120,1feb47287c9f9463,plugged
1392965886,1feb47287c9f9463,plugged
1392967134,1feb47287c9f9463,unplugged
1392968065,1feb47287c9f9463,plugged
1392968416,1feb47287c9f9463,unplugged
1392968710,1feb47287c9f9463,unplugged
1392969307,1feb47287c9f9463,unplugged
1392969332,1feb47287c9f9463,unplugged
1392972125,1feb47287c9f9463,unplugged
1393000126,1feb47287c9f9463,unplugged
1393003179,1feb47287c9f9463,unplugged
1393003196,1feb47287c9f9463,unplugged
1393003302,1feb47287c9f9463,unplugged
1393003553,1feb47287c9f9463,unplugged
1393003579,1feb47287c9f9463,unplugged
1393003605,1feb47287c9f9463,unplugged
1393003618,1feb47287c9f9463,unplugged
1393426888,1feb47287c9f9463,plugged
1393569100,6cad15226bf1c195,unplugged
1393569109,6cad15226bf1c195,plugged
1393570398,6cad15226bf1c195,unplugged
