min_time, max_time, size, raw
1407851101,1407854615,3,"{'162827fb7066dee3': ['plugged', '1407851142'], 'c65e30d1647924c8': ['unplugged', '1407851124'], '474e21ce058b4d09': ['unplugged', '1407851140']}"
1407941620,1407948578,3,"{'162827fb7066dee3': ['unplugged', '1407941623'], 'c65e30d1647924c8': ['unplugged', '1407941628'], '474e21ce058b4d09': ['unplugged', '1407941643']}"
1408031877,1408032973,3,"{'162827fb7066dee3': ['plugged', '1408031958'], 'c65e30d1647924c8': ['unplugged', '1408031897'], '474e21ce058b4d09': ['unplugged', '1408031956']}"
1408032973,1408113484,3,"{'162827fb7066dee3': ['unplugged', '1408032974'], 'c65e30d1647924c8': ['unplugged', '1408032995'], '474e21ce058b4d09': ['unplugged', '1408032981']}"
1408117221,1408119607,3,"{'162827fb7066dee3': ['unplugged', '1408117225'], 'c65e30d1647924c8': ['unplugged', '1408117229'], '474e21ce058b4d09': ['plugged', '1408117274']}"
1408357331,1408358340,4,"{'46e8e6f137e7c3b1': ['unplugged', '1408357387'], '162827fb7066dee3': ['unplugged', '1408357336'], 'c65e30d1647924c8': ['unplugged', '1408357369'], '6cad15226bf1c195': ['unplugged', '1408357381']}"
1408361167,1408361337,3,"{'162827fb7066dee3': ['unplugged', '1408361169'], 'c65e30d1647924c8': ['plugged', '1408361184'], '474e21ce058b4d09': ['unplugged', '1408361245']}"
1408461586,1408461947,3,"{'162827fb7066dee3': ['unplugged', '1408461593'], 'c65e30d1647924c8': ['plugged', '1408461607'], '474e21ce058b4d09': ['unplugged', '1408461629']}"
1408527252,1408611215,3,"{'162827fb7066dee3': ['unplugged', '1408527274'], 'c65e30d1647924c8': ['unplugged', '1408527289'], '474e21ce058b4d09': ['unplugged', '1408527291']}"
1408956589,1409122386,3,"{'162827fb7066dee3': ['plugged', '1408956662'], 'c65e30d1647924c8': ['unplugged', '1408956610'], '474e21ce058b4d09': ['unplugged', '1408956652']}"
1409158189,1409204591,3,"{'162827fb7066dee3': ['unplugged', '1409158199'], 'c65e30d1647924c8': ['unplugged', '1409158192'], '474e21ce058b4d09': ['unplugged', '1409158204']}"
1409230369,1409242653,3,"{'162827fb7066dee3': ['unplugged', '1409230381'], 'c65e30d1647924c8': ['unplugged', '1409230391'], '474e21ce058b4d09': ['unplugged', '1409230406']}"
1409556173,1409556314,3,"{'162827fb7066dee3': ['plugged', '1409556213'], 'c65e30d1647924c8': ['plugged', '1409556218'], '474e21ce058b4d09': ['unplugged', '1409556175']}"
1409556696,1409558789,3,"{'162827fb7066dee3': ['unplugged', '1409556705'], 'c65e30d1647924c8': ['unplugged', '1409556717'], '474e21ce058b4d09': ['plugged', '1409556699']}"
1409558789,1409558922,3,"{'162827fb7066dee3': ['unplugged', '1409558804'], 'c65e30d1647924c8': ['unplugged', '1409558810'], '474e21ce058b4d09': ['plugged', '1409558907']}"
1409565014,1409584288,3,"{'162827fb7066dee3': ['unplugged', '1409565044'], 'c65e30d1647924c8': ['unplugged', '1409565035'], '474e21ce058b4d09': ['plugged', '1409565097']}"
