min_time, max_time, size, raw
1404143562,1404143683,3,"{'1feb47287c9f9463': ['plugged', '1404143635'], '162827fb7066dee3': ['plugged', '1404143614'], 'c65e30d1647924c8': ['plugged', '1404143663']}"
1406365122,1406378775,3,"{'162827fb7066dee3': ['plugged', '1406365199'], 'c65e30d1647924c8': ['plugged', '1406365154'], '474e21ce058b4d09': ['plugged', '1406365132']}"
1407242614,1407242783,3,"{'162827fb7066dee3': ['plugged', '1407242617'], 'c65e30d1647924c8': ['plugged', '1407242652'], '474e21ce058b4d09': ['plugged', '1407242626']}"
1407242783,1407420539,3,"{'162827fb7066dee3': ['plugged', '1407242797'], 'c65e30d1647924c8': ['plugged', '1407242830'], '474e21ce058b4d09': ['plugged', '1407242786']}"
1409556198,1409556542,3,"{'162827fb7066dee3': ['plugged', '1409556213'], 'c65e30d1647924c8': ['plugged', '1409556218'], '474e21ce058b4d09': ['plugged', '1409556231']}"
1409643259,1409645130,3,"{'162827fb7066dee3': ['plugged', '1409643369'], 'c65e30d1647924c8': ['plugged', '1409643374'], '474e21ce058b4d09': ['plugged', '1409643353']}"
1409645130,1409745909,3,"{'162827fb7066dee3': ['plugged', '1409645146'], 'c65e30d1647924c8': ['plugged', '1409645151'], '474e21ce058b4d09': ['plugged', '1409645176']}"
1410014179,1410018851,3,"{'162827fb7066dee3': ['plugged', '1410014198'], 'c65e30d1647924c8': ['plugged', '1410014200'], '474e21ce058b4d09': ['plugged', '1410014202']}"
1410596627,1410597511,3,"{'162827fb7066dee3': ['plugged', '1410596631'], 'c65e30d1647924c8': ['plugged', '1410596722'], '474e21ce058b4d09': ['plugged', '1410596702']}"
